Student Last Name,Student First Name,Gr,Advisor,Advisor Last Name,Advisor First Name,F1/G1 Last,F1/G1 First,F1/G1 Phone
Lawson,Mustafa,02,"Nordstrom, Amy West",Nordstrom,Amy West,Lawson,Merium,(702) 727-5276
Fields,Maisie,03,"Collins, Kristin E",Collins,Kristin E,Fields,Rachel,(639) 964-9042
Gutierrez,Buchanan,K2,"Weinbach, Elaina D",Weinbach,Elaina D,Gutierrez,William,(701) 690-4959
Ryan,Gideon,K2,"Cottle, Carole D",Cottle,Carole D,Ryan,Rachel,(736) 293-5868
Schmidt,Simone,03,"Wood, Lisa Victoria Cole",Wood,Lisa Victoria Cole,Schmidt,Jennifer,(681) 178-8174
Schmidt,Willow,03,"Wood, Lisa Victoria Cole",Wood,Lisa Victoria Cole,Schmidt,Jennifer,(681) 178-8174
Vasquez,Camille,03,"Collins, Kristin E",Collins,Kristin E,Vasquez,Molly,(637) 473-5644
Castillo,Elias,02,"Crawford-Mass, Beth Anne",Crawford-Mass,Beth Anne,Castillo,Daniel,(350) 963-1571
Wheeler,Eliana,01,"Bryant, Laura Lea",Bryant,Laura Lea,Wheeler,Christina,(395) 911-7344
Chapman,Levi,02,"Keach, Rebecca Jeanne Grue",Keach,Rebecca Jeanne Grue,Chapman,Lindsay,(672) 464-8370
Chapman,Wyatt,K2,"Cottle, Carole D",Cottle,Carole D,Chapman,Lindsay,(672) 464-8370
Montgomery,Noah,K2,"Dreiling, Sandra L",Dreiling,Sandra L,Montgomery,Holly,(507) 911-3522
Richards,Geneva,P4,"Hines, Kathryn Michele",Hines,Kathryn Michele,Richards,Mairead,(547) 340-4018
Williamson,Loch,03,"Eisenhood, Ian P",Eisenhood,Ian P,Williamson,Lori,(898) 717-9065
Johnston,Oakes,K2,"Dreiling, Sandra L",Dreiling,Sandra L,Johnston,Sarah,(822) 854-1854
Banks,Madeleine,K2,"Bendezu, Zoe Margaret",Bendezu,Zoe Margaret,Banks,Lisa,(674) 192-6734
Bunch,Mira,02,"Nordstrom, Amy West",Nordstrom,Amy West,Bunch,Lara,(814) 959-9182
Bishop,Liam,02,"Crawford-Mass, Beth Anne",Crawford-Mass,Beth Anne,Bishop,Pontea,(216) 807-8234
Bishop,Mila,K2,"Bendezu, Zoe Margaret",Bendezu,Zoe Margaret,Bishop,Pontea,(216) 807-8234
Howell,Atlas,02,"Keach, Rebecca Jeanne Grue",Keach,Rebecca Jeanne Grue,Howell,Melissa,(719) 200-4394
Howell,Isis,04,"Smith, Michelle A",Smith,Michelle A,Howell,Melissa,(719) 200-4394
Morrison,Roslyn,P2,"Hines, Kathryn Michele",Hines,Kathryn Michele,Morrison,Roxanne,(515) 691-3602
Hansen,Belle,03,"Eisenhood, Ian P",Eisenhood,Ian P,Hansen,Michel,(188) 425-0510
Fernandez,Dexter,K2,"Dreiling, Sandra L",Dreiling,Sandra L,Fernandez,Sunny,(368) 524-3674
Garza,Brighton,P4,"Hines, Kathryn Michele",Hines,Kathryn Michele,Garza,Tiffany,(903) 045-0980
Harvey,Michael,04,"Ryan, Ingrid Anna",Ryan,Ingrid Anna,Harvey,Gloria,(355) 587-3811
Little,Holland,K2,"Cottle, Carole D",Cottle,Carole D,Little,Brooke,(997) 366-0750
Burton,Ana,K2,"Bendezu, Zoe Margaret",Bendezu,Zoe Margaret,Burton,Arilda,(362) 524-6185
Stanley,Lincoln,P4,"Hines, Kathryn Michele",Hines,Kathryn Michele,Stanley,Elizabeth,(631) 086-5532
Nguyen,Joseph,P3,"Hines, Kathryn Michele",Hines,Kathryn Michele,Nguyen,Abbie,(872) 811-5549
Geoge,Luke,K2,"Dreiling, Sandra L",Dreiling,Sandra L,Geoge,Christine,(620) 840-9607
Jacobs,Cole,K2,"Dreiling, Sandra L",Dreiling,Sandra L,Jacobs,Jessica,(100) 631-3087
Reid,Finna,04,"Smith, Michelle A",Smith,Michelle A,Reid,Sydney,(596) 526-8631
Kim,Madeline,K2,"Bendezu, Zoe Margaret",Bendezu,Zoe Margaret,Kim,Lisa,(673) 104-6692
Fuller,John,04,"Smith, Michelle A",Smith,Michelle A,Fuller,Lauren,(372) 878-3731
Lynch,Beatrice,K2,"Bendezu, Zoe Margaret",Bendezu,Zoe Margaret,Lynch,Jonathan,(978) 405-5076
Lynch,Greta,P3,"Hines, Kathryn Michele",Hines,Kathryn Michele,Lynch,Jonathan,(978) 405-5076
Gilbert,Ava,03,"Eisenhood, Ian P",Eisenhood,Ian P,Gilbert,Jannet,(657) 807-8398
Gilbert,Julian,K2,"Bendezu, Zoe Margaret",Bendezu,Zoe Margaret,Gilbert,Jannet,(657) 807-8398
Romero,Dustin,K2,"Bendezu, Zoe Margaret",Bendezu,Zoe Margaret,Romero,Megan,(164) 551-7584
Welch,Lexi,03,"Eisenhood, Ian P",Eisenhood,Ian P,Welch,Emily,(111) 160-7440
Larson,Jackson,04,"Ryan, Ingrid Anna",Ryan,Ingrid Anna,Larson,Sarah,(870) 272-6332
Larson,Keaton,02,"Nordstrom, Amy West",Nordstrom,Amy West,Larson,Sarah,(870) 272-6332
Burke,Ethan,02,"Crawford-Mass, Beth Anne",Crawford-Mass,Beth Anne,Burke,Keith,(608) 466-9719
Hanson,Declan,04,"Covert, William W",Covert,William W,Hanson,Sommer,(302) 019-2437
Day,Nathan,K2,"Dreiling, Sandra L",Dreiling,Sandra L,Day,Briana,(872) 098-4575
Mendoza,Otto,02,"Crawford-Mass, Beth Anne",Crawford-Mass,Beth Anne,Mendoza,Jennifer,(929) 352-9019
Mendoza,Emory,01,"Bryant, Laura Lea",Bryant,Laura Lea,Mendoza,Jennifer,(929) 352-9019
Mendoza,Rowan,01,"Darling, Suzanne G",Darling,Suzanne G,Mendoza,Jennifer,(929) 352-9019
Medina,Mark,04,"Covert, William W",Covert,William W,Medina,Karen,(847) 118-0119
Fowler,Ryan,04,"Covert, William W",Covert,William W,Fowler,Hannah,(113) 820-7430
Brewer,Tristan,K2,"Dreiling, Sandra L",Dreiling,Sandra L,Brewer,Megan,(554) 958-4515
Hoffman,Ethan,03,"Wood, Lisa Victoria Cole",Wood,Lisa Victoria Cole,Hoffman,Tiffny,(117) 108-3226
Carlson,Esther,01,"Bryant, Laura Lea",Bryant,Laura Lea,Carlson,Harriet,(895) 156-4736
Silva,Emiline,K2,"Cottle, Carole D",Cottle,Carole D,Silva,Leanne,(280) 731-0774
Pearson,Peyton,K2,"Cottle, Carole D",Cottle,Carole D,Pearson,Rebecca,(892) 183-1104
Pearson,Sophie,04,"Covert, William W",Covert,William W,Pearson,Rebecca,(892) 183-1104
Douglas,Eleanor,K2,"Dreiling, Sandra L",Dreiling,Sandra L,Douglas,Jennifer,(292) 695-1550
Fleming,Eleanor,K2,"Dreiling, Sandra L",Dreiling,Sandra L,Fleming,Nina,(466) 337-8980
Jensen,Eloise,02,"Keach, Rebecca Jeanne Grue",Keach,Rebecca Jeanne Grue,Jensen,Lisa,(301) 850-6209
Vargas,Garza,04,"Ryan, Ingrid Anna",Ryan,Ingrid Anna,Vargas,Emily,(995) 297-4436
Vargas,Sydney,K2,"Weinbach, Elaina D",Weinbach,Elaina D,Vargas,Emily,(995) 297-4436
Davidson,Emma,02,"Keach, Rebecca Jeanne Grue",Keach,Rebecca Jeanne Grue,Davidson,Ashley,(866) 049-2268
Hopkins,Kailani,04,"Ryan, Ingrid Anna",Ryan,Ingrid Anna,Hopkins,Teresa,(909) 332-8076
Hopkins,Kekoa,02,"Crawford-Mass, Beth Anne",Crawford-Mass,Beth Anne,Hopkins,Teresa,(909) 332-8076
Terry,Lenna,01,"Darling, Suzanne G",Darling,Suzanne G,Terry,Paul,(474) 455-4098
